N_Scheduler,Time,N_processes,N_products
2,314,4,4501
2,319,4,5001
2,485,4,5501
2,620,4,6001
2,482,4,6501
2,605,4,7001
2,686,4,7501
2,658,4,8001
2,595,4,8501
2,869,4,9001
2,890,4,9501
2,860,4,10001
2,34,5,1
2,132,5,501
2,172,5,1001
2,210,5,1501
2,211,5,2001
2,242,5,2501
2,337,5,3001
2,460,5,3501
2,508,5,4001
2,530,5,4501
2,482,5,5001
2,820,5,5501
2,874,5,6001
2,699,5,6501
2,770,5,7001
2,747,5,7501
2,702,5,8001
2,759,5,8501
2,1288,5,9001
2,1215,5,9501
2,1146,5,10001
2,42,6,1
2,180,6,501
2,302,6,1001
2,273,6,1501
2,241,6,2001
2,284,6,2501
2,301,6,3001
2,578,6,3501
2,417,6,4001
2,465,6,4501
2,428,6,5001
2,550,6,5501
2,645,6,6001
2,624,6,6501
2,666,6,7001
2,858,6,7501
2,748,6,8001
2,859,6,8501
2,1069,6,9001
2,1116,6,9501
2,1032,6,10001
2,37,7,1
2,140,7,501
2,169,7,1001
2,231,7,1501
2,307,7,2001
2,374,7,2501
2,373,7,3001
2,496,7,3501
2,567,7,4001
2,689,7,4501
2,666,7,5001
2,875,7,5501
2,829,7,6001
2,761,7,6501
2,783,7,7001
2,811,7,7501
2,867,7,8001
2,864,7,8501
2,1164,7,9001
2,1299,7,9501
2,1277,7,10001
2,75,8,1
2,200,8,501
2,263,8,1001
2,390,8,1501
2,321,8,2001
2,413,8,2501
2,408,8,3001
2,562,8,3501
2,582,8,4001
2,639,8,4501
2,668,8,5001
2,921,8,5501
2,856,8,6001
2,787,8,6501
2,1133,8,7001
2,1072,8,7501
2,1041,8,8001
2,1022,8,8501
2,1359,8,9001
2,1402,8,9501
2,1223,8,10001
2,83,16,1
2,211,16,501
2,286,16,1001
2,451,16,1501
2,459,16,2001
2,686,16,2501
2,893,16,3001
2,933,16,3501
2,1245,16,4001
2,996,16,4501
2,1160,16,5001
2,1551,16,5501
2,1557,16,6001
2,1817,16,6501
2,1973,16,7001
2,2243,16,7501
2,1820,16,8001
2,2216,16,8501
2,2799,16,9001
2,3232,16,9501
2,3494,16,10001
2,151,24,1
2,338,24,501
2,442,24,1001
2,743,24,1501
2,681,24,2001
2,1024,24,2501
2,1122,24,3001
2,1787,24,3501
2,1905,24,4001
2,1826,24,4501
2,1483,24,5001
2,2164,24,5501
2,2789,24,6001
2,2874,24,6501
2,2507,24,7001
2,2529,24,7501
2,2474,24,8001
2,2804,24,8501
2,4518,24,9001
2,3661,24,9501
2,3700,24,10001
2,132,32,1
2,438,32,501
2,652,32,1001
2,882,32,1501
2,1073,32,2001
2,1199,32,2501
2,1494,32,3001
2,1833,32,3501
2,1887,32,4001
2,2476,32,4501
2,2493,32,5001
2,2938,32,5501
2,3272,32,6001
2,2887,32,6501
2,4234,32,7001
2,4023,32,7501
2,3920,32,8001
2,4556,32,8501
2,6029,32,9001
2,5852,32,9501
2,6260,32,10001
2,154,40,1
2,503,40,501
2,1006,40,1001
2,1449,40,1501
2,1421,40,2001
2,1824,40,2501
2,2388,40,3001
2,2800,40,3501
2,2518,40,4001
2,2442,40,4501
2,2719,40,5001
2,4049,40,5501
2,4849,40,6001
2,5308,40,6501
2,6449,40,7001
2,4850,40,7501
2,4589,40,8001
2,6643,40,8501
2,7130,40,9001
2,8451,40,9501
2,8533,40,10001
2,278,48,1
2,717,48,501
