N_Scheduler,N_Available_Sched,Time,N_processes,N_products,N_processes*N_products,N_products*N_process / time,N_products*N_processes/ (time*n_process),N_products*N_process/(time*N_Schedulers),N_products*N_processes/(time*N_processes*N_Schedulers)
1,8,1488,5,7001,35005,23.524865591397848,4.70497311827957,23.524865591397848,4.70497311827957
1,8,1399,5,7501,37505,26.8084345961401,5.36168691922802,26.8084345961401,5.36168691922802
1,8,1315,5,8001,40005,30.422053231939163,6.084410646387833,30.422053231939163,6.084410646387833
1,8,2204,5,8501,42505,19.285390199637025,3.8570780399274045,19.285390199637025,3.8570780399274045
1,8,1455,5,9001,45005,30.93127147766323,6.186254295532646,30.93127147766323,6.186254295532646
1,8,2149,5,9501,47505,22.105630525825966,4.421126105165193,22.105630525825966,4.421126105165193
1,8,2283,5,10001,50005,21.903197547087167,4.380639509417433,21.903197547087167,4.380639509417433
1,8,68,6,1,6,0.08823529411764706,0.014705882352941176,0.08823529411764706,0.014705882352941176
1,8,195,6,501,3006,15.415384615384616,2.5692307692307694,15.415384615384616,2.5692307692307694
1,8,303,6,1001,6006,19.821782178217823,3.3036303630363038,19.821782178217823,3.3036303630363038
1,8,392,6,1501,9006,22.974489795918366,3.829081632653061,22.974489795918366,3.829081632653061
1,8,596,6,2001,12006,20.144295302013422,3.3573825503355703,20.144295302013422,3.3573825503355703
1,8,649,6,2501,15006,23.121725731895225,3.8536209553158707,23.121725731895225,3.8536209553158707
1,8,738,6,3001,18006,24.398373983739837,4.06639566395664,24.398373983739837,4.06639566395664
1,8,810,6,3501,21006,25.933333333333334,4.322222222222222,25.933333333333334,4.322222222222222
1,8,1052,6,4001,24006,22.819391634980988,3.803231939163498,22.819391634980988,3.803231939163498
1,8,889,6,4501,27006,30.37795275590551,5.062992125984252,30.37795275590551,5.062992125984252
1,8,884,6,5001,30006,33.94343891402715,5.657239819004525,33.94343891402715,5.657239819004525
1,8,1583,6,5501,33006,20.85028427037271,3.475047378395452,20.85028427037271,3.475047378395452
1,8,1559,6,6001,36006,23.095574085952535,3.8492623476587555,23.095574085952535,3.8492623476587555
1,8,1148,6,6501,39006,33.97735191637631,5.662891986062718,33.97735191637631,5.662891986062718
1,8,1249,6,7001,42006,33.631705364291435,5.6052842273819055,33.631705364291435,5.6052842273819055
1,8,1719,6,7501,45006,26.18150087260035,4.363583478766725,26.18150087260035,4.363583478766725
1,8,2074,6,8001,48006,23.146576663452265,3.857762777242044,23.146576663452265,3.857762777242044
1,8,1893,6,8501,51006,26.944532488114106,4.490755414685684,26.944532488114106,4.490755414685684
1,8,1125,6,9001,54006,48.00533333333333,8.00088888888889,48.00533333333333,8.00088888888889
1,8,3096,6,9501,57006,18.412790697674417,3.068798449612403,18.412790697674417,3.068798449612403
1,8,1889,6,10001,60006,31.76601376389624,5.29433562731604,31.76601376389624,5.29433562731604
1,8,87,7,1,7,0.08045977011494253,0.011494252873563218,0.08045977011494253,0.011494252873563218
1,8,260,7,501,3507,13.488461538461538,1.926923076923077,13.488461538461538,1.926923076923077
1,8,361,7,1001,7007,19.409972299168974,2.772853185595568,19.409972299168974,2.772853185595568
